tweet_id,favorite_count,retweet_count
835536468978302976,0,1885
835309094223372289,0,23342
835297930240217089,17597,3309
835264098648616962,8344,1885
835246439529840640,2238,81
835172783151792128,28064,6371
835152434251116546,24131,3365
834931633769889797,11644,1829
834786237630337024,22658,6049
834574053763584002,14739,2808
834477809192075265,0,11839
834458053273591808,10340,1857
834209720923721728,22162,5318
834167344700198914,16929,4027
834089966724603904,10803,2359
834086379323871233,14046,2456
833863086058651648,14419,2669
833826103416520705,16489,3819
833732339549220864,0,241
833722901757046785,22228,3555
833479644947025920,15984,2292
833124694597443584,21757,5392
832998151111966721,14321,2463
832769181346996225,0,42
832757312314028032,18126,4023
832682457690300417,12799,3272
832645525019123713,3140,578
832636094638288896,17089,3118
832397543355072512,12880,2479
832369877331693569,18484,3550
832273440279240704,12164,2598
832215909146226688,0,6885
832215726631055365,0,10424
832088576586297345,72,2
832040443403784192,0,10825
832032802820481025,19261,5194
831939777352105988,25880,6848
831926988323639298,367,36
831911600680497154,29822,7275
831670449226514432,11269,2019
831650051525054464,7744,2178
831552930092285952,9716,2557
831322785565769729,9885,1706
831315979191906304,7007,1238
831309418084069378,12619,2713
831262627380748289,12836,2291
830956169170665475,8598,1682
830583320585068544,72195,18794
830173239259324417,0,6371
830097400375152640,10617,3358
829878982036299777,0,5602
829861396166877184,13225,2192
829501995190984704,34265,11839
829449946868879360,11319,2270
829374341691346946,37432,10418
829141528400556032,26499,8283
829011960981237760,57248,18121
828801551087042563,0,3796
828770345708580865,27633,6569
828708714936930305,39564,12533
828650029636317184,10282,1502
828409743546925057,6787,1282
828408677031882754,8263,1430
828381636999917570,13650,2485
828376505180889089,7996,1188
828372645993398273,13544,3268
828361771580813312,2370,191
828046555563323392,12732,3192
828011680017821696,11199,2394
827933404142436356,21802,5851
827653905312006145,16710,3351
827600520311402496,8022,1054
827324948884643840,17192,3423
827199976799354881,11462,2506
826958653328592898,23376,5602
826848821049180160,39575,11507
826615380357632002,0,4406
826598799820865537,5545,286
826598365270007810,10914,2628
826476773533745153,19945,4694
826240494070030336,14366,2895
826204788643753985,5276,1050
826115272272650244,16992,3506
825876512159186944,11336,2096
825829644528148480,13793,2790
825535076884762624,56363,19267
825147591692263424,19854,5125
825120256414846976,0,1443
825026590719483904,6901,1443
824796380199809024,0,6151
824775126675836928,16244,3955
824663926340194305,10923,1946
824325613288833024,12781,11621
824297048279236611,16305,4336
824025158776213504,5176,665
823939628516474880,11558,3042
823719002937630720,0,12637
823699002998870016,13638,2708
823581115634085888,14147,2975
823333489516937216,760,29
823322678127919110,17120,4523
823269594223824897,0,11086
822975315408461824,18801,3865
822872901745569793,143886,49364
822859134160621569,14347,2562
822647212903690241,0,7195
822610361945911296,16043,3329
822489057087389700,19735,7195
822462944365645825,31162,16635
822244816520155136,38119,11086
822163064745328640,0,5424
821886076407029760,12358,2633
821813639212650496,0,3749
821765923262631936,9169,1864
821522889702862852,8719,1985
821421320206483457,0,6285
821407182352777218,12831,4903
821153421864615936,276,10
821149554670182400,9524,2265
821107785811234820,10455,2403
821044531881721856,13765,2574
820837357901512704,0,7525
820749716845686786,34372,11199
820690176645140481,13301,3628
820494788566847489,0,636
820446719150292993,0,2906
820314633777061888,3635,636
820078625395449857,21552,7068
820013781606658049,0,1328
819952236453363712,5808,1328
819924195358416896,14023,5455
819711362133872643,14646,3532
819588359383371776,10411,2215
819347104292290561,7865,1352
819238181065359361,2493,453
819227688460238848,25170,7525
819015337530290176,0,41161
819015331746349057,0,21250
819006400881917954,49123,21250
819004803107983360,93975,41161
818646164899774465,0,23451
818627210458333184,24187,8366
818614493328580609,10761,2912
818588835076603904,0,6937
